chip_path,score
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c10183.png,4282
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c10695.png,4912
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c10183.png,4226
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c10439.png,6324
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c10439.png,4940
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c10439.png,1638
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c10183.png,4400
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c10695.png,1914
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c10183.png,4069
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c10695.png,1503
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c12231.png,1026
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c10951.png,1593
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c10951.png,1623
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c11463.png,826
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c12231.png,814
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c11207.png,1549
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c11207.png,867
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c11719.png,667
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c11975.png,902
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c12231.png,908
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c12231.png,722
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c10951.png,701
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c11719.png,785
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c11463.png,751
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c12487.png,1042
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c12231.png,1041
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c12487.png,955
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c11463.png,793
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c11207.png,741
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c12487.png,916
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c11719.png,724
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c11207.png,746
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c11975.png,706
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c11463.png,631
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c11719.png,602
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c12231.png,693
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c12487.png,666
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c11975.png,515
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c12231.png,515
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c11975.png,434
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c12487.png,440
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c12487.png,408
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c12231.png,360
